མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།
,89,2,1,《པེ་》《སྣར་》,ཚོགས།
,,3,2,《པེ་》《སྣར་》,ལེ།
,,4,3,《པེ་》《སྣར་》,བྲེས།
,,5,4,《པེ་》《སྣར་》,བཞི།
,,6,5,《པེ་》《སྣར་》,མོ།
,,7,6,《པེ་》《སྣར་》,པ་ན།
,90,8,1,《པེ་》《སྣར་》,pལྔ་ན་ཡ་ཀ་ར་ན་རྒྱ་ནན།
,,9,2,《པེ་》《སྣར་》,ཤྩཎྜ།
,,10,3,《པེ་》《སྣར་》,སྱ།
,,11,4,《པེ་》《སྣར་》,mཔ།
,,12,5,《པེ་》《སྣར་》,mཔ་བྲང་དུ་བཞག
,,13,6,《པེ་》《སྣར་》,ཛ།
,,14,7,《པེ་》《སྣར་》,པ།
,,15,8,《པེ་》《སྣར་》,མོའི་མཚན་མོའི།
,,16,9,《པེ་》《སྣར་》,རག་ཏ།
,,17,10,《པེ་》《སྣར་》,གཻ།
,,18,11,《པེ་》《སྣར་》,mབརྗོད།
,91,19,1,《པེ་》《སྣར་》,བརྐྱངས་ཏེ།
,,20,2,《པེ་》《སྣར་》,ཡ།
,,21,3,《པེ་》《སྣར་》,བསྐྱེལ།
,,22,4,《པེ་》《སྣར་》,བྲི།
,,23,5,《པེ་》《སྣར་》,ཙམ།
,,24,6,《པེ་》《སྣར་》,ན་ཨ་ཙི།
,,25,7,《པེ་》《སྣར་》,ཛྭ།
,92,26,1,《པེ་》《སྣར་》,pཀྱིས།
,,27,2,《པེ་》《སྣར་》,བཏང་།
