མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།
,197,2,1,《པེ་》《སྣར་》,ལ།
,,3,2,《པེ་》《སྣར་》,mཔ།
,,4,3,《པེ་》《སྣར་》,དང་བཅས་པ།
,,5,4,《པེ་》《སྣར་》,ཧེ།
,,6,5,《པེ་》《སྣར་》,དབུལ།
,198,7,1,《པེ་》《སྣར་》,བལྟམས།
,,8,2,《པེ་》《སྣར་》,དབུལ།
,,9,3,《པེ་》《སྣར་》,mཀུན་ནས་རྣམ་དག་རྫས་ཀྱི་མཆོག།
,,10,4,《པེ་》《སྣར་》,བལྟམས།
,,11,5,《པེ་》《སྣར་》,pསྣང་གསལ་འདི། གཟའ་རྣམས། གདུག །སྤོས། གཤོས་གཙང་། སིལ་སྙན།
,,12,6,《པེ་》《སྣར་》,mའཁོར་དང་བཅས་པ་འབུལ། །དམ་ཚིག་དབང་གིས་བཞེས་སུ་གསོལ། །ཕྱོགས་བཅུ་ཀུན་ནས་རྣམ་དག་རྫས་ཀྱི་མཆོག །མཛེས་པར་གཏམས་པའི་སིལ་སྙན་འདི། །གཟའ་རྣམས་འཁོར་དང་བཅས་ལ་འབུལ། །
,,13,7,《པེ་》《སྣར་》,དབུལ།
,,14,8,《པེ་》《སྣར་》,བསྟོད།
,199,15,1,《པེ་》《སྣར་》,བསྐྱེད་བཅིངས།
,,16,2,《པེ་》《སྣར་》,འགྱེངས།
,200,17,1,《པེ་》《སྣར་》,དབུལ།
,,18,2,《པེ་》《སྣར་》,དབུལ།
