མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,240,2,1,《པེ་》《སྣར་》,བཅད།,
,,3,2,《པེ་》《སྣར་》,གྱིས།,
,,4,3,《པེ་》《སྣར་》,mཔའི།,
,241,5,1,《སྣར་》,སྟོང་།,
,,6,2,《པེ་》《སྣར་》,pལ།,
,,7,3,《པེ་》《སྣར་》,mགནས།,
,,8,4,《པེ་》《སྣར་》,བཅད།,
,,9,5,《པེ་》《སྣར་》,བསྐལ།,
,,10,6,《པེ་》《སྣར་》,རིམས།,
,,11,7,《པེ་》《སྣར་》,རིམས།,
,,12,8,《པེ་》《སྣར་》,གྱིས།,
,,13,9,《པེ་》《སྣར་》,mལ།,
,242,14,1,《པེ་》《སྣར་》,བཅད།,
,,15,2,《པེ་》《སྣར་》,mབྱེད།,
,,16,3,《པེ་》《སྣར་》,ལ།,
,,17,4,《པེ་》《སྣར་》,གཞུག་ཏུ་སྐུ།,
,243,18,1,《པེ་》《སྣར་》,mལ།,
,,19,2,《པེ་》《སྣར་》,ལོག,
,,20,3,《པེ་》《སྣར་》,pབ།,
,,21,4,《པེ་》《སྣར་》,པའོ།,
,,22,5,《པེ་》《སྣར་》,བཟུང་།,
,,23,6,《པེ་》《སྣར་》,སྐྱོན།,
,,24,7,《པེ་》,རྐྱེན་རྣམས་འཇོམ།,《སྣར་》,རྐྱེན་རྣམས་འཇོམ།
,,25,8,《པེ་》《སྣར་》,mསུ།,
,244,26,1,《པེ་》《སྣར་》,mབ་ནི།,
,,27,2,《པེ་》《སྣར་》,mབ་དང་ནང་སེམས་ལ་བཙལ།,
,,28,3,《པེ་》《སྣར་》,རྟོགས།,
,,29,4,《པེ་》《སྣར་》,འཇུག,
,,30,5,《པེ་》《སྣར་》,སྒོམ།,
,,31,6,《པེ་》《སྣར་》,སྤོངས།,
,,32,7,《པེ་》《སྣར་》,ཀྱི།,
,,33,8,《པེ་》《སྣར་》,བཏང་།,
,,34,9,《པེ་》《སྣར་》,བཟུང་།,
,,35,10,《པེ་》《སྣར་》,བརྩི།,
,,36,11,《པེ་》《སྣར་》,བཟུང་།,
,245,37,1,《པེ་》《སྣར་》,pམ།,
,,38,2,《པེ་》,pལ།,
,,39,3,《པེ་》《སྣར་》,mནི།,
,,40,4,《པེ་》《སྣར་》,བྱ།,
,,41,5,《པེ་》《སྣར་》,གྱི།,
,,42,6,《པེ་》《སྣར་》,ངེས་པར།,
,,43,7,《པེ་》《སྣར་》,སྡང་།,
,246,44,1,《སྣར་》,ཡུལ།,
,,45,2,《པེ་》《སྣར་》,mདཔལ།,
,,46,3,《པེ་》《སྣར་》,སྡེབས།,
