མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
བདེན་པ་གཉིས་ལ་འཇུག་པ།,1050,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་བདེན་པ་གཉིས་ལ་འཇུག་པ་སློབ་དཔོན་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་མཛད་པ་བཞུགས་སོ། །ཞེས་དང་། 《ཅོ་》ལ་བདེན་གཉིས་བཞུགས། །ཞེས་འཁོད།,,,,,,72ལ་བདེན་གཉིས་བཞུགས། ཞེས་འཁོད།
,,3,2,《སྣར་》,སཏྟྱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,5,4,《སྣར་》,འཇིགས།,,,,,,
,,6,5,《པེ་》《སྣར་》,གི།,,,,,,
,1051,7,1,《པེ་》《སྣར་》,སྤོང་།,,,,,,
,,8,2,《སྣར་》,ཡི།,,,,,,
,1052,9,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,10,2,《པེ་》《སྣར་》,འཕུང་བར།,,,,,,
,,11,3,《སྣར་》,རྟོག,,,,,,
,1053,12,1,《པེ་》《སྣར་》,གསུངས།,,,,,,
,,13,2,《པེ་》《སྣར་》,ལོཙྪ།,,,,,,
,,14,3,《པེ་》《སྣར་》,པའོ།,,,,,,
