མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།,456,2,1,《པེ་》,ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,བརྣ།,,,,,,
,,4,3,《སྣར་》,བསྐལ་པ།,,,,,,
,,5,4,《སྣར་》,བསྐལ་པ།,,,,,,
,457,6,1,《པེ་》《སྣར་》,སར།,,,,,,
,,7,2,《སྣར་》,ཉམ་པ།,,,,,,
,,8,3,《པེ་》《སྣར་》,མདངས་ཕྲོགས།,,,,,,
,,9,4,《པེ་》《སྣར་》,མ།,,,,,,
,,10,5,《པེ་》《སྣར་》,ཇི།,,,,,,
,,11,6,《པེ་》《སྣར་》,སར།,《ཅོ་》,པ།,,,,,
,458,12,1,《པེ་》《སྣར་》,བ།,,,,,,
,,13,2,《པེ་》《སྣར་》,བརྐུ།,,,,,,
,,14,3,《པེ་》《སྣར་》,འདྲི་ལ་བརྩོན།,,,,,,
,,15,4,《པེ་》《སྣར་》,གང་གོཏྟ།,,,,,,
