མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ་།,མཆན།།,
༄༅། །སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ་བཞུགས།,939,2,1,,མཚན་བྱང་འདི་《སྡེ》《ཅོ》ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ། ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,དུ།,
,,4,3,《པེ་》《སྣར་》,དྲེག,
,,5,4,《པེ་》《སྣར་》,པྲ།,
,,6,5,《སྣར་》,ལི།,
,,7,6,《པེ་》《སྣར་》,ཚྭ།,
,,8,7,《པེ་》《སྣར་》,ཚྭ་ཨ་གར།,
,,9,8,《པེ་》《སྣར་》,དུ།,
,,10,9,《པེ་》《སྣར་》,དྲེག,
,,11,10,《པེ་》《སྣར་》,གྷཾ།,
,,12,11,《པེ་》《སྣར་》,ཆ་ལས།,
,,13,12,《པེ་》《སྣར་》,གར།,
,,14,13,《སྣར་》,དུར།,
,,15,14,《པེ་》《སྣར་》,གྷཾ།,
,,16,15,《པེ་》《སྣར་》,༽ ན།,
,,17,16,《པེ་》,ཙོ་ར་བཞག,《སྣར་》,རྩོར་བཞག
,,18,17,《པེ་》《སྣར་》,ཚྭའི།,
,940,19,1,《པེ་》《སྣར་》,བྱ་སྟེ།,
,,20,2,《པེ་》《སྣར་》,རི།,
,,21,3,《པེ་》《སྣར་》,གསེང་ཕྲོམ་ཧཾ་ན་གསུམ་གསུམ་བཞག་པ་དྲིལ།,
,,22,4,《པེ་》《སྣར་》,ཚྭ།,
,,23,5,《པེ་》《སྣར་》,གསེང་།,
,,24,6,《པེ་》《སྣར་》,ལ།,
,,25,7,《པེ་》《སྣར་》,བསྲེག,
,,26,8,《པེ་》《སྣར་》,ཀའི།,
,,27,9,《པེ་》《སྣར་》,སྐ།,
,,28,10,《པེ་》《སྣར་》,གར།,
,,29,11,《པེ་》,ན་ག,《སྣར་》,ནཱ་གཱ།
,,30,12,《པེ་》《སྣར་》,མྲ།,
,,31,13,《པེ་》《སྣར་》,སྐ།,
