མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,,མཆན,,,,,,
ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བ་བསྒྲུབ་པའི་ཐབས།,332,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,,,,,
,,3,2,《པེ་》,བའི།,,,,,,
,,4,3,《པེ་》,mལ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད)
,,5,4,《པེ་》,བསྒྲུབ།,,,,,,
,333,6,1,《པེ་》,ཨོཾ།,,,,,,
,,7,2,《པེ་》,pསེམས་ཅན་གྱི་དོན་ལ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད)
,,8,3,《པེ་》,pལྷ་མོ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད)
,,9,4,《པེ་》,mལས།,,,,,,
,334,10,1,《པེ་》,དྲ།,,,,,,
,,11,2,《པེ་》,སོ།,,,,,,
,,12,3,《པེ་》,pཔ།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད)
,335,13,1,《པེ་》,རྟོགས།,,,,,,
,,14,2,《པེ་》,བསྒྲིབས།,,,,,,
,336,15,1,《པེ་》,སྣམས།,,,,,,
,337,16,1,《པེ་》,ཤིན།,,,,,,
,,17,2,《པེ་》,པ།,
,,18,3,《པེ་》,ལ།,
,338,19,1,《པེ་》,བསྒོམས།,
,,20,2,《པེ་》,ཨོཾ་ཨཱ།,
,339,21,1,《པེ་》,mསོ།,
