ཨང།	RKTs-D	ཆོས་མཚན།		སྡེ་ཚན།  སྤྱིའི་དེབ་གྲངས།	མཛད་པ་པོ།	དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།	པེ་ཅིང་ཤོག་གྲངས།	སྡེ་དགེའི་ཤོག་གྲངས།	ཆོས་ཚན་ཨང།
62	D1773	དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།	1-32	རྒྱུད། ཤ 14	འཕགས་པ་ཀླུ་སྒྲུབ།	1698-1701	ལ293བ-294བ	ཤ268བ-269ན	3
75	D1798	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	1-38	རྒྱུད། ངི 18	སློབ་དཔོན་ཀླུ་སྒྲུབ།	41-92	གི17ན-39བ	ངི15བ-35ན
86	D1809	འདུས་པའི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་གཞག་པ། 	1-44	རྒྱུད། ངི 18	སློབ་དཔོན་ཀླུའི་བློ། 	337-361	གི137བ6-149ན4	ངི121ན6-131ན5
88	D1811	ལས་ཀྱི་མཐའ་རྣམ་པར་འབྱེད་པ། 	1-45	རྒྱུད། ངི 18	སློབ་དཔོན་ཀླུའི་བློ། 	404-408	གི165ན6-166བ༤	ངི145བ3-147ན1
89	D1812	རིམ་པ་ཁོངས་སུ་བསྡུ་བའི་མན་ངག་ངེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།	1-46	རྒྱུད། ངི 18	སློབ་དཔོན་ཀླུའི་བློ། 	409-414	གི166བ4-168བ༢	ངི147ན1-148བ4
156	D2653	མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།	17-39	རྒྱུད། ཇུ 34	ཇོ་བོ་རྗེ།	1589-1593	གུ337ན-338བ	ཇུ306བ-308ན
178	D2942	རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ།	17-44	རྒྱུད། པུ། 38	ཇོ་བོ་རྗེ།	-50	ཏུ17ན-24བ5	པུ16ན6-23བ4
222	D3061	ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།	17-144	རྒྱུད། པུ། 38	མར་མེ་མཛད་ཡེ་ཤེས།	344-347	ཏུ134བ1-135བ5	པུ116བ6-117བ7
249	D3688	འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།	17-152	རྒྱུད། མུ 40	སློབ་དཔོན་དཱི་པཾ་ཀ་ར།	1470-1472	དུ425ན-425བ	མུ323ན-323བ	2
276	N4871	སྦྱིན་སྲེག་གི་ཆོ་ག	17-62	རྒྱུད། ཧུ། 47	དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།	184-187	ཟུ170ན-171ན	འདི་མི་གསལ།
281	N4876	རོ་བསྲེག་པའི་ཆོ་ག	17-62	རྒྱུད། ཧུ། 47	དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།	202-205	ཟུ175བ-176བ	འདི་མི་གསལ།
288	N4910	དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།	1-80	རྒྱུད། ཧུ 47	སློབ་དཔོན་ཀླུ་སྒྲུབ།	371-373	ཟུ258བ-259ན	འདི་མི་གསལ།
351	Q5261	དབུ་མ་ལ་འཇུག་པའི་ཚིག་ལེའུར་བྱས་པ།	5-9	དབུ་མ། འ 60	སློབ་དཔོན་ཟླ་བ་གྲགས་པ།	513-554	འ225བ-245ན	འདི་ཆད།
378	Q5326	དབུ་མའི་མན་ངག་ཅེས་བྱ་བ།	17-73	དབུ་མ། ཀི 64	དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།	342-345	ཨ132བ-133བ	འདི་མི་གསལ།
390	Q5348	བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མདོ་ཙམ་གདམས་ངག་ཏུ་བྱས་པ།	17-81	དབུ་མ། ཁི 64	དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།	1795-1798	ཀི343ན-344བ	འདི་མི་གསལ།
399	D3960	སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།	17-90	དབུ་མ། ཁི 64	དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།	1854-1857	ཀི364ན-365ན	ཁི312བ-313ན
416	D3989	འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།	10-7	མདོ་སྡེ། ངི 65	སློབ་དཔོན་དབྱིག་གཉེན།	909-912	ངི81ན-83ན	ངི64བ-66ན
452	D4059	ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ།	10-22	སེམས་ཙམ། ཤི། 77	སློབ་དཔོན་དབྱིག་གཉེན།	35-49	སི12བ-19ན	ཤི11བ-17ན
471	D4122	འདུལ་བ་མདོའི་འགྲེལ་པ།	15-9	འདུལ་བ། ལུ། 92	སློབ་དཔོན་ཡོན་ཏན་འོད།	737-1581	སུ1བ-429ན	ལུ1བ-344ན
474	D4127	འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།	1-110	འདུལ་བ། སུ། 93	སློབ་དཔོན་ཀླུ་སྒྲུབ།	725-731	ཨུ1བ-5ན	སུ1བ-4བ
519	Q5808	སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།	1-119	སྣ་ཚོགས། ངོ 114	འཕགས་པ་ཀླུ་སྒྲུབ།	937-938	གོ29བ-29བ	འདི་མི་གསལ།
