D001_བསྟོད།_ཀ_༠༠༠༡	T1109
D001_བསྟོད།_ཀ_༠༠༠༢	T1110
D001_བསྟོད།_ཀ_༠༠༠༣	T1111
D001_བསྟོད།_ཀ_༠༠༠༤	T1112
D001_བསྟོད།_ཀ_༠༠༠༥	T1113
D001_བསྟོད།_ཀ_༠༠༠༦	T1114
D001_བསྟོད།_ཀ_༠༠༠༧	T1115
D001_བསྟོད།_ཀ_༠༠༠༨	T1116
D001_བསྟོད།_ཀ_༠༠༠༩	T1117
D001_བསྟོད།_ཀ_༠༠༡༠	T1118
D001_བསྟོད།_ཀ_༠༠༡༡	T1119
D001_བསྟོད།_ཀ_༠༠༡༢	T1120
D001_བསྟོད།_ཀ_༠༠༡༣	T1121
D001_བསྟོད།_ཀ_༠༠༡༤	T1122
D001_བསྟོད།_ཀ_༠༠༡༥	T1123
D001_བསྟོད།_ཀ_༠༠༡༦	T1124
D001_བསྟོད།_ཀ_༠༠༡༧	T1125
D001_བསྟོད།_ཀ_༠༠༡༨	T1126
D001_བསྟོད།_ཀ_༠༠༡༩	T1127
D001_བསྟོད།_ཀ_༠༠༢༠	T1128
D001_བསྟོད།_ཀ_༠༠༢༡	T1129
D001_བསྟོད།_ཀ_༠༠༢༢	T1130
D001_བསྟོད།_ཀ_༠༠༢༣	T1131
D001_བསྟོད།_ཀ_༠༠༢༤	T1132
D001_བསྟོད།_ཀ_༠༠༢༥	T1133
D001_བསྟོད།_ཀ_༠༠༢༦	T1134
D001_བསྟོད།_ཀ_༠༠༢༧	T1135
D001_བསྟོད།_ཀ_༠༠༢༨	T1136
D001_བསྟོད།_ཀ_༠༠༢༩	T1137
D001_བསྟོད།_ཀ_༠༠༣༠	T1138
D001_བསྟོད།_ཀ_༠༠༣༡	T1139
D001_བསྟོད།_ཀ_༠༠༣༢	T1140
D001_བསྟོད།_ཀ_༠༠༣༣	T1141
D001_བསྟོད།_ཀ_༠༠༣༤	T1142
D001_བསྟོད།_ཀ_༠༠༣༥	T1143
D001_བསྟོད།_ཀ_༠༠༣༦	T1144
D001_བསྟོད།_ཀ_༠༠༣༧	T1145
D001_བསྟོད།_ཀ_༠༠༣༨	T1146
D001_བསྟོད།_ཀ_༠༠༣༩	T1147
D001_བསྟོད།_ཀ_༠༠༤༠	T1148
D001_བསྟོད།_ཀ_༠༠༤༡	T1149
D001_བསྟོད།_ཀ_༠༠༤༢	T1150
D001_བསྟོད།_ཀ_༠༠༤༣	T1151
D001_བསྟོད།_ཀ_༠༠༤༤	T1152
D001_བསྟོད།_ཀ_༠༠༤༥	T1153
D001_བསྟོད།_ཀ_༠༠༤༦	T1154
D001_བསྟོད།_ཀ_༠༠༤༧	T1155
D001_བསྟོད།_ཀ_༠༠༤༨	T1156
D001_བསྟོད།_ཀ_༠༠༤༩	T1157
D001_བསྟོད།_ཀ_༠༠༥༠	T1158
D001_བསྟོད།_ཀ_༠༠༥༡	T1159
D001_བསྟོད།_ཀ_༠༠༥༢	T1160
D001_བསྟོད།_ཀ_༠༠༥༣	T1161
D001_བསྟོད།_ཀ_༠༠༥༤	T1162
D001_བསྟོད།_ཀ_༠༠༥༥	T1163
D001_བསྟོད།_ཀ_༠༠༥༦	T1164
D001_བསྟོད།_ཀ_༠༠༥༧	T1165
D001_བསྟོད།_ཀ_༠༠༥༨	T1166
D001_བསྟོད།_ཀ_༠༠༥༩	T1167
D001_བསྟོད།_ཀ_༠༠༦༠	T1168
D001_བསྟོད།_ཀ_༠༠༦༡	T1169
D001_བསྟོད།_ཀ_༠༠༦༢	T1170
D001_བསྟོད།_ཀ_༠༠༦༣	T1171
D001_བསྟོད།_ཀ_༠༠༦༤	T1172
D001_བསྟོད།_ཀ_༠༠༦༥	T1173
D001_བསྟོད།_ཀ_༠༠༦༦	T1174
D001_བསྟོད།_ཀ_༠༠༦༧	T1175
D001_བསྟོད།_ཀ_༠༠༦༨	T1176
D001_བསྟོད།_ཀ_༠༠༦༩	T1177
D001_བསྟོད།_ཀ_༠༠༧༠	T1178
D001_བསྟོད།_ཀ_༠༠༧༡	T1179
D002_རྒྱུད།_ཀ_༠༠༠༡	T1180
D002_རྒྱུད།_ཀ_༠༠༠༢	T1181
D002_རྒྱུད།_ཀ_༠༠༠༣	T1182
D003_རྒྱུད།_ཁ_༠༠༠༤	T1183
D003_རྒྱུད།_ཁ_༠༠༠༥	T1184
D004_རྒྱུད།_ག_༠༠༠༦	T1185
D004_རྒྱུད།_ག_༠༠༠༧	T1186
D004_རྒྱུད།_ག_༠༠༠༨	T1187
D004_རྒྱུད།_ག_༠༠༠༩	T1188
D004_རྒྱུད།_ག_༠༠༡༠	T1189
D005_རྒྱུད།_ང_༠༠༡༡	T1190
D005_རྒྱུད།_ང_༠༠༡༢	T1191
