C1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
C2	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ
C3	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ
C4	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ
C5	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ
C6	སངས་རྒྱས་ཀྱི་བསྟོད་པ
C7	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ལ་བསྟོད་པ
C8	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ
C9	བདུད་བཏུལ་བ་ལ་བསྟོད་པ
C10	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ
C11	དཔེ་མེད་པར་བསྟོད་པ
C12	འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ
C13	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ
C14	དོན་དམ་པར་བསྟོད་པ
C15	སྐུ་གསུམ་ལ་བསྟོད་པ
C16	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ
C17	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ
C18	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ
C19	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ
C20	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ
C21	བླ་ན་མེད་པའི་བསྟོད་པ
C22	རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ
C23	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ
C24	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
C25	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
C26	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ
C27	ཕྱག་འཚལ་བའི་བསྟོད་པ
C28	དམྱལ་བ་ནས་འདོན་པ
