D1109	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
D1110	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ
D1111	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ
D1112	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ
D1113	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ
D1114	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ
D1115	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ
D1116	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ
D1117	བདུད་བཏུལ་བ་ལ་བསྟོད་པ
D1118	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ
D1119	དཔེ་མེད་པར་བསྟོད་པ
D1120	འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ
D1121	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ
D1122	དོན་དམ་པར་བསྟོད་པ
D1123	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
D1124	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ
D1125	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ
D1126	རྡོ་རྗེ་འཆང་ཆེན་པོའི་བསྟོད་པ
D1127	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ
D1128	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ
D1129	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ
D1130	བླ་ན་མེད་པའི་བསྟོད་པ
D1131	འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ
D1132	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ
D1133	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
D1134	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
D1135	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
D1136	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ
D1137	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ
D1138	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ
D1139	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ
D1140	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ
D1141	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ
D1142	བདེ་བར་གཤེགས་པ་སུམ་ཅུ་རྩ་ལྔའི་བསྟོད་པ་མཚན་རིན་པོ་ཆེས་སྤྲས་པ་ཞེས་བྱ་བ
D1143	ཚིགས་སུ་བཅད་པ་བརྒྱད་པའི་བསྟོད་པ
D1144	དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པ
D1145	དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པའི་འགྲེལ་པ
D1146	དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ
D1147	བརྒྱ་ལྔ་བཅུ་པ་ཞེས་བྱ་བའི་བསྟོད་པ
D1148	བརྒྱ་ལྔ་བཅུ་པ་ཞེས་བྱ་བའི་བསྟོད་པའི་འགྲེལ་པ
D1149	གང་ཌིའི་བསྟོད་པ་ཚིགས་སུ་བཅད་པ
D1150	སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ
D1151	དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ལ་བསྟོད་པ
D1152	བཅོམ་ལྡན་འདས་ཤཱ་ཀྱ་ཐུབ་པའི་བསྟོད་པ
D1153	དཔལ་ལྡན་རྗེ་བཙུན་བྱང་ཆུབ་པོའི་བསྟོད་པ
D1154	སངས་རྒྱས་ཀྱི་བསྟོད་པ་བཅུ་པ
D1155	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པ
D1156	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ
D1157	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུ་བྱས་པ
D1158	སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ
D1159	བཤགས་པའི་བསྟོད་པ
D1160	གཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ
D1161	སངས་རྒྱས་དབང་བསྐུར་བ་ཞེས་བྱ་བའི་བསྟོད་པ
D1162	བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས
D1163	བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས་ཀྱི་རྒྱ་ཆེར་བཤད་པ
D1164	དེ་བཞིན་གཤེགས་པ་ལྔ་ལ་བསྟོད་པ
D1165	དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་བསྟོད་པ
D1166	དེ་བཞིན་གཤེགས་པ་བརྒྱད་ལ་བསྟོད་པ
D1167	རབ་ཏུ་སྔ་བར་ནམ་ལངས་པའི་བསྟོད་པ
D1168	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་ཕྱག་འཚལ་བའི་བསྟོད་པ
D1169	དེ་བཞིན་གཤེགས་པའི་མཚན་བརྗོད་བསྐལ་བཟང་རྒྱན་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ
D1170	སྦྱོར་བ་བཞིའི་ལྷ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
D1171	མཁས་པ་ཆེན་པོ་གྲགས་པ་རྒྱལ་མཚན་ལ་བསྟོད་པ
D1172	བླ་མ་དམ་པ་ཆོས་ཀྱི་རྒྱལ་པོ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
D1173	རྗེ་བཙུན་འཇིག་རྟེན་དབང་ཕྱུག་སེང་གེ་སྒྲ་ལ་བསྟོད་པ
D1174	འཇིག་རྟེན་དབང་ཕྱུག་གི་བསྟོད་པ་རིན་པོ་ཆེའི་ཕྲེང་བ
D1175	ཚོགས་ཀྱི་དབང་ཕྱུག་གི་བསྟོད་པ
D1176	དཔལ་རི་ཁྲོད་ཞབས་ཀྱིས་བསྟོད་པ་རིན་པོ་ཆེ
D1177	དཔལ་ལྡན་བླ་མ་ནགས་ཀྱི་རིན་ཆེན་གྱི་བསྟོད་པ་བདུན་པ
D1178	སྐྱེས་པ་རབས་ཀྱི་བསྟོད་པ
D1179	བླ་མ་དམ་པ་ལ་བསྟོད་པ
D1180	ཀྱེའི་རྡོ་རྗེ་བསྡུས་པའི་དོན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ
D1181	ཁྱེའི་རྡོ་རྗེའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་པདྨ་ཅན་ཞེས་བྱ་བ
