G1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
G2	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ
G3	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ
G4	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ
G5	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ
G6	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ
G7	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ
G8	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ
G9	བདུད་བཏུལ་བ་ལ་བསྟོད་པ
G10	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ
G11	དཔེ་མེད་པར་བསྟོད་པ
G12	ཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ
G13	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ
G14	དོན་དམ་པར་བསྟོད་པ
G15	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
G16	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ
G17	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ
G18	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ
G19	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ
G20	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ
G21	བླ་ན་མེད་པའི་བསྟོད་པ
G22	ཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ
G23	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ
G24	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
G25	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
G26	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
G27	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ
G28	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ
G29	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ
G30	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ
G31	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ
G32	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ
G33	བདེ་བར་གཤེགས་པ་སུམ་ཅུ་རྩ་ལྔའི་བསྟོད་པ་མཚན་རིན་པོ་ཆེས་སྤྲས་པ་ཞེས་བྱ་བ
G34	ཚིགས་སུ་བཅད་པ་བརྒྱད་པའི་བསྟོད་པ
G35	དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པ
G36	དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པའི་འགྲེལ་པ
G37	དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ
G38	བརྒྱ་ལྔ་བཅུ་པ་ཞེས་བྱ་བའི་བསྟོད་པ
G39	བརྒྱ་ལྔ་བཅུ་པ་ཞེས་བྱ་བའི་བསྟོད་པའི་འགྲེལ་པ
G40	གང་ཌིའི་བསྟོད་པ་ཚིགས་སུ་བཅད་པ
G41	སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ
G42	དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ལ་བསྟོད་པ
G43	བཅོམ་ལྡན་འདས་ཤའ་ཀྱ་ཐུབ་པའི་བསྟོད་པ
G44	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པ
G45	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ
G46	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུ་བྱས་པ
G47	སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ
G48	བཤགས་པའི་བསྟོད་པ
G49	གཤགས་པའི་བསྟོད་པའི་འགྲེལ་པ
G50	སངས་རྒྱས་དབང་བསྐུར་བ་ཞེས་བྱ་བའི་བསྟོད་པ
G51	བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས
G52	བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས་ཀྱི་རྒྱ་ཆེར་བཤད་པ
G53	དེ་བཞིན་གཤེགས་པ་ལྔ་ལ་བསྟོད་པ
G54	དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་བསྟོད་པ
G55	དེ་བཞིན་གཤེགས་པ་བརྒྱད་ལ་བསྟོད་པ
G56	རབ་ཏུ་སྔ་བར་ནམ་ལངས་པའི་བསྟོད་པ
G57	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་ཕྱག་འཚལ་བའི་བསྟོད་པ
G58	དེ་བཞིན་གཤེགས་པའི་མཚན་བརྗོད་བསྐལ་བཟང་རྒྱན་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ
G59	སྦྱོར་བ་བཞིའི་ལྷ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
G61	བླ་མ་དམ་པ་ཆོས་ཀྱི་རྒྱལ་པོ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
G62	དུས་མཆོད་ཆེན་པོ་བཞིའི་ཚིག་ལེའུར་བྱས་པ
G63	དཔལ་ཤའ་ཀྱ་ཐུབ་པའི་བསྟོད་པ་བཅུ་པ་ཞེས་བྱ་བ
G64	ཨེ་ཀ་གའ་ཐའའི་དོན་འགྲེལ
