Q2001	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
Q2002	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པའི་རྒྱ་ཆེར་བཤད་པ
Q2003	ཐམས་ཅད་མཁྱེན་པ་དབང་ཕྱུག་ཆེན་པོའི་བསྟོད་པ་ཞེས་བྱ་བ
Q2004	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པ
Q2005	ལྷ་ལས་ཕུལ་དུ་བྱུང་བར་བསྟོད་པའི་རྒྱ་ཆེར་འགྲེལ་པ
Q2006	སངས་རྒྱས་ཀྱི་བསྟོད་པ་ཞེས་བྱ་བ
Q2007	ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ
Q2008	དེ་ཁོ་ན་ཉིད་ལ་བསྟོད་པ
Q2009	བདུད་བཏུལ་བ་ལ་བསྟོད་པ
Q2010	ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ
Q2011	དཔེ་མེད་པར་བསྟོད་པ
Q2012	འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ
Q2013	སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ
Q2014	དོན་དམ་པར་བསྟོད་པ
Q2015	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
Q2016	སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ
Q2017	སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ
Q2018	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་བསྟོད་པ
Q2019	བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ
Q2020	བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ
Q2021	བླ་ན་མེད་པའི་བསྟོད་པ
Q2022	འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ་ཞེས་བྱ་བ
Q2023	རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ
Q2024	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
Q2025	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ
Q2026	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
Q2027	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ
Q2028	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ
Q2029	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ
Q2030	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ
Q2031	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་མཚན་ལ་བསྟོད་པ
Q2032	གཅིག་ལས་འཕྲོས་པའི་བསྟོད་པ
Q2033	བདེ་བར་གཤེགས་པ་སུམ་ཅུ་རྩ་ལྔའི་བསྟོད་པ་མཚན་རིན་པོ་ཆེས་སྤྲས་པ་ཞེས་བྱ་བ
Q2034	ཚིགས་སུ་བཅད་པ་བརྒྱད་པའི་བསྟོད་པ
Q2035	དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པ
Q2036	དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པའི་འགྲེལ་པ
Q2037	དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ
Q2038	བརྒྱ་ལྔ་བཅུ་པ་ཞེས་བྱ་བའི་བསྟོད་པ
Q2039	བརྒྱ་ལྔ་བཅུ་པ་ཞེས་བྱ་བའི་བསྟོད་པའི་འགྲེལ་པ
Q2040	གང་ཌིའི་བསྟོད་པ་ཚིགས་སུ་བཅད་པ
Q2041	སྤེལ་མར་བསྟོད་པ་ཞེས་བྱ་བ
Q2042	དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ལ་བསྟོད་པ
Q2043	བཅོམ་ལྡན་འདས་ཤཱ་ཀྱ་ཐུབ་པའི་བསྟོད་པ
Q2044	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པ
Q2045	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ
Q2046	ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུ་བྱས་པ
Q2047	སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ
Q2048	བཤགས་པའི་བསྟོད་པ
