T1118,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།.txt
T1128,1-10_བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།.txt
T3836,1-100_རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།.txt
T3837,1-101_རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།.txt
T3838,1-102_མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T3840,1-103_སྲིད་པ་འཕོ་བ།.txt
T3843,1-104_རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ།.txt
T3908,1-105_བསྒོམ་པའི་རིམ་པ།.txt
T3985,1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T3986,1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་རྒྱ་ཆེར་བཤད་པ།.txt
T4005,1-108_བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ།.txt
T4101,1-109_འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།.txt
T1129,1-11_བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།.txt
T4124,1-110_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།.txt
T4148,1-111_བསླབ་པ་བཅུའི་ཆོ་ག.txt
T4158,1-112_རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།.txt
T4160,1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།.txt
T4161,1-114_སྦྱིན་པའི་གཏམ།.txt
T4162,1-115_སྲིད་པ་ལས་འདས་པའི་གཏམ།.txt
T4182,1-116_བཤེས་པའི་སྤྲིང་ཡིག.txt
T4306,1-117_སྦྱོར་བ་བརྒྱ་པ།.txt
T4308,1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག.txt
T4319,1-119_སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།.txt
T1130,1-12_བླ་ན་མེད་པའི་བསྟོད་པ།.txt
T4319,1-120_སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ།.txt
T4328,1-122_ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T4329,1-123_ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།.txt
T4330,1-124_ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།.txt
T4384,1-125_རྡོ་རྗེའི་སྨོན་ལམ།.txt
T4385,1-126_བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།.txt
T4395,1-127_སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ་ཞེས་བྱ་བ།.txt
T4410,1-128_བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།a.txt
T4411,1-129_བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།b.txt
,1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།.txt
T2373,1-139_ཀླུ་སྒྲུབ་ཀྱི་གླུ།.txt
T2480,1-140_ལྟུང་པ་བཅོ་ལྔ་པ།.txt
T2481,1-141_ཡན་ལག་གི་ཉེས་པ་བདུན་པ།.txt
T3645,1-142_ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།.txt
T3664,1-143_སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3769,1-145_རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག.txt
T3829,1-146_དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།.txt
T3839,1-147_སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད།.txt
T3934,1-149_མདོ་ཀུན་ལས་བཏུས་པ།.txt
T3966,1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག.txt
T4011,1-151_འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།.txt
T4307,1-153_སྨན་འཚོ་བའི་མདོ་ཚིགས་སུ་བཅད་པ།.txt
T3067,1-156_དགེ་བའི་འདོད་འཇོ།.txt
T4387,1-159_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།.txt
N,1-160_བླ་མ་གསང་བར་སྒྲུབ་པ།.txt
T4388,1-163_རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་པ།.txt
T1131,1-17_འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།.txt
T1132,1-18_རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།.txt
T1133,1-19_གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།a.txt
T1119,1-2_དཔེ་མེད་པར་བསྟོད་པ།.txt
T1134,1-20_གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།b.txt
T1135,1-21_མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།.txt
T1136,1-22_ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ།.txt
T1137,1-23_དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ།.txt
T1206,1-24_དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ།.txt
T1609,1-25_མཆན་ཁུང་གི་སྦྱོར་བ།.txt
T1683,1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T1684,1-27_ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ།.txt
T1752,1-28_དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།.txt
T1758,1-29_དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།.txt
T1120,1-3_འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།.txt
T1759,1-30_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།.txt
T1772,1-31_ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།.txt
T1773,1-32_དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།.txt
T1780,1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།.txt
T1784,1-34_དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ།.txt
T17840,1-35_ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།.txt
T1796,1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།.txt
T1797,1-37_རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པའི་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ།.txt
T1798,1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག.txt
T1799,1-39_དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།.txt
T1121,1-4_སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།.txt
T1800,1-40_བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།a.txt
T1801,1-41_བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།b.txt
T1340,1-43_རིམ་པ་ལྔ་པ།.txt
T2190,1-48_རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག.txt
T2191,1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།.txt
T1122,1-5_དོན་དམ་པར་བསྟོད་པ།.txt
T2204,1-50_དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།.txt
T2206,1-52_སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས།.txt
T2207,1-53_རབ་ཏུ་གནས་པའི་རྒྱན།.txt
T2277,1-54_དངོས་པོ་སྦྱོང་བ་ཞེས་བྱ་བ།.txt
T2382,1-55_རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ།.txt
T2482,1-56_རྡོ་རྗེ་ཐེག་པའི་སྦོམ་པོའི་ལྟུང་བ།.txt
T2640,1-57_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས།.txt
T2701,1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།.txt
T1123,1-6_སྐུ་གསུམ་ལ་བསྟོད་པ།.txt
T2736,1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།.txt
T27360,1-61_འཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།.txt
T2742,1-63_འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས།.txt
T2866,1-64_གོས་སྔོན་པོ་ཅན་གྱི་དངོས་གྲུབ་ཉེ་བ།.txt
T2867,1-65_གནོད་པ་སེལ་བའི་བདུད་རྩི།.txt
T2868,1-66_རྡོ་རྗེ་བྱབ་པའི་ལས་ཚོགས།.txt
T2869,1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།.txt
T2142,1-68_རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།.txt
T3117,1-69_འཕགས་མ་རིག་པ་ཆེན་མོ་སོ་སོར་འབྲང་མའི་འཁོར་ལོ།.txt
T1124,1-7_སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།.txt
T3368,1-70_རྟོག་པ་ལས་གསུངས་པའི་ལྷ་མོ་རིགས་བྱེད་མའི་སྒྲུབ་པའི་ཐབས།.txt
T1324,1-71_རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3518,1-72_རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།.txt
T3562,1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།.txt
T3729,1-74_ཞེན་ལོག་སྒྲོན་མ།.txt
N,1-75_འཇིག་རྟེན་གསུམ་ལས་རྣམ་པར་རྒྱལ་བ་འཕགས་མ་སྒྲོལ་མ་སྒྲུབ་པའི་ཐབས།.txt
N,1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།.txt
N,1-77_བསྡུས་པའི་རིམ་པའི་སྒྲུབ་ཐབས།.txt
N,1-78_རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།.txt
N,1-79_གནོད་སྦྱིན་མཁའ་འགྲོ་ཀུན་འཁྱིལ་རྟོགས་པ་ལས་བྱུང་བའི་གྭ་ཐབས།.txt
T1125,1-8_སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།.txt
T1759,1-80_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།a.txt
N,1-81_ཕྱག་ན་རྡོ་རྗེ་གཏུམ་པོ་ཆེན་པོ་ཁྲོས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།.txt
